word	translation	key
2+2	4
3+2	5
4+2	6
5+2	7
6+2	8
7+2	9
8+2	10
9+2	11
10+2	12
11+2	13
12+2	14
13+2	15
14+2	16
15+2	17
16+2	18
17+2	19
18+2	20
19+2	21
20+2	22
2+3	5
3+3	6
4+3	7
5+3	8
6+3	9
7+3	10
8+3	11
9+3	12
10+3	13
11+3	14
12+3	15
13+3	16
14+3	17
15+3	18
16+3	19
17+3	20
18+3	21
19+3	22
20+3	23
2+4	6
3+4	7
4+4	8
5+4	9
6+4	10
7+4	11
8+4	12
9+4	13
10+4	14
11+4	15
12+4	16
13+4	17
14+4	18
15+4	19
16+4	20
17+4	21
18+4	22
19+4	23
20+4	24
2+5	7
3+5	8
4+5	9
5+5	10
6+5	11
7+5	12
8+5	13
9+5	14
10+5	15
11+5	16
12+5	17
13+5	18
14+5	19
15+5	20
16+5	21
17+5	22
18+5	23
19+5	24
20+5	25
2+6	8
3+6	9
4+6	10
5+6	11
6+6	12
7+6	13
8+6	14
9+6	15
10+6	16
11+6	17
12+6	18
13+6	19
14+6	20
15+6	21
16+6	22
17+6	23
18+6	24
19+6	25
20+6	26
2+7	9
3+7	10
4+7	11
5+7	12
6+7	13
7+7	14
8+7	15
9+7	16
10+7	17
11+7	18
12+7	19
13+7	20
14+7	21
15+7	22
16+7	23
17+7	24
18+7	25
19+7	26
20+7	27
2+8	10
3+8	11
4+8	12
5+8	13
6+8	14
7+8	15
8+8	16
9+8	17
10+8	18
11+8	19
12+8	20
13+8	21
14+8	22
15+8	23
16+8	24
17+8	25
18+8	26
19+8	27
20+8	28
2+9	11
3+9	12
4+9	13
5+9	14
6+9	15
7+9	16
8+9	17
9+9	18
10+9	19
11+9	20
12+9	21
13+9	22
14+9	23
15+9	24
16+9	25
17+9	26
18+9	27
19+9	28
20+9	29
2+10	12
3+10	13
4+10	14
5+10	15
6+10	16
7+10	17
8+10	18
9+10	19
10+10	20
11+10	21
12+10	22
13+10	23
14+10	24
15+10	25
16+10	26
17+10	27
18+10	28
19+10	29
20+10	30
2+11	13
3+11	14
4+11	15
5+11	16
6+11	17
7+11	18
8+11	19
9+11	20
10+11	21
11+11	22
12+11	23
13+11	24
14+11	25
15+11	26
16+11	27
17+11	28
18+11	29
19+11	30
20+11	31
2+12	14
3+12	15
4+12	16
5+12	17
6+12	18
7+12	19
8+12	20
9+12	21
10+12	22
11+12	23
12+12	24
13+12	25
14+12	26
15+12	27
16+12	28
17+12	29
18+12	30
19+12	31
20+12	32
4-2	2
5-2	3
6-2	4
7-2	5
8-2	6
9-2	7
10-2	8
11-2	9
12-2	10
13-2	11
14-2	12
15-2	13
16-2	14
17-2	15
18-2	16
19-2	17
20-2	18
21-2	19
22-2	20
5-3	2
6-3	3
7-3	4
8-3	5
9-3	6
10-3	7
11-3	8
12-3	9
13-3	10
14-3	11
15-3	12
16-3	13
17-3	14
18-3	15
19-3	16
20-3	17
21-3	18
22-3	19
23-3	20
6-4	2
7-4	3
8-4	4
9-4	5
10-4	6
11-4	7
12-4	8
13-4	9
14-4	10
15-4	11
16-4	12
17-4	13
18-4	14
19-4	15
20-4	16
21-4	17
22-4	18
23-4	19
24-4	20
7-5	2
8-5	3
9-5	4
10-5	5
11-5	6
12-5	7
13-5	8
14-5	9
15-5	10
16-5	11
17-5	12
18-5	13
19-5	14
20-5	15
21-5	16
22-5	17
23-5	18
24-5	19
25-5	20
8-6	2
9-6	3
10-6	4
11-6	5
12-6	6
13-6	7
14-6	8
15-6	9
16-6	10
17-6	11
18-6	12
19-6	13
20-6	14
21-6	15
22-6	16
23-6	17
24-6	18
25-6	19
26-6	20
9-7	2
10-7	3
11-7	4
12-7	5
13-7	6
14-7	7
15-7	8
16-7	9
17-7	10
18-7	11
19-7	12
20-7	13
21-7	14
22-7	15
23-7	16
24-7	17
25-7	18
26-7	19
27-7	20
10-8	2
11-8	3
12-8	4
13-8	5
14-8	6
15-8	7
16-8	8
17-8	9
18-8	10
19-8	11
20-8	12
21-8	13
22-8	14
23-8	15
24-8	16
25-8	17
26-8	18
27-8	19
28-8	20
11-9	2
12-9	3
13-9	4
14-9	5
15-9	6
16-9	7
17-9	8
18-9	9
19-9	10
20-9	11
21-9	12
22-9	13
23-9	14
24-9	15
25-9	16
26-9	17
27-9	18
28-9	19
29-9	20
12-10	2
13-10	3
14-10	4
15-10	5
16-10	6
17-10	7
18-10	8
19-10	9
20-10	10
21-10	11
22-10	12
23-10	13
24-10	14
25-10	15
26-10	16
27-10	17
28-10	18
29-10	19
30-10	20
13-11	2
14-11	3
15-11	4
16-11	5
17-11	6
18-11	7
19-11	8
20-11	9
21-11	10
22-11	11
23-11	12
24-11	13
25-11	14
26-11	15
27-11	16
28-11	17
29-11	18
30-11	19
31-11	20
14-12	2
15-12	3
16-12	4
17-12	5
18-12	6
19-12	7
20-12	8
21-12	9
22-12	10
23-12	11
24-12	12
25-12	13
26-12	14
27-12	15
28-12	16
29-12	17
30-12	18
31-12	19
32-12	20